timestamp,ambient_percent,uv_percent,temp_c,flow_l_min
2025-12-05T08:55:45,4.2,0.29,32.87,0.0
2025-12-05T08:55:45,4.11,0.29,33.35,0.0
2025-12-05T08:55:46,4.3,0.2,30.54,0.0
2025-12-05T08:55:48,4.2,0.29,31.8,0.0
2025-12-05T08:55:51,4.01,0.1,29.95,0.0
2025-12-05T08:55:53,4.2,0.2,74.91,0.0
2025-12-05T08:55:55,1.86,0.39,26.0,0.0
2025-12-05T08:55:57,4.99,0.39,3.95,0.0
2025-12-05T08:56:00,7.14,0.29,9.31,0.0
2025-12-05T08:56:02,4.69,0.29,42.18,0.0
2025-12-05T08:56:04,4.3,0.29,30.15,0.0
2025-12-05T08:56:06,4.69,0.29,4.1,0.0
2025-12-05T08:56:08,5.96,0.39,86.08,0.0
2025-12-05T08:56:11,5.57,0.2,1.92,0.0
2025-12-05T08:56:13,5.18,0.39,46.47,0.0
2025-12-05T08:56:15,5.08,0.39,41.98,0.0
2025-12-05T08:56:17,13.0,0.29,83.99,0.0
2025-12-05T08:56:20,10.46,0.29,75.24,0.0
2025-12-05T08:56:22,5.28,0.29,0.26,0.0
2025-12-05T08:56:24,6.84,0.29,4.55,0.0
2025-12-05T08:56:26,6.16,0.39,23.67,0.0
2025-12-05T08:56:28,6.16,0.29,83.19,0.0
2025-12-05T08:56:31,6.35,0.29,77.96,0.0
2025-12-05T08:56:33,5.96,0.29,54.76,0.0
2025-12-05T08:56:35,6.06,0.39,23.36,0.0
2025-12-05T08:56:37,6.84,0.29,28.68,0.0
2025-12-05T08:56:39,6.74,0.39,18.05,0.0
2025-12-05T08:56:42,0.78,0.2,17.6,0.0
2025-12-05T08:56:44,0.39,0.39,27.49,0.0
2025-12-05T08:56:46,7.04,0.39,20.43,0.0
2025-12-05T08:56:48,7.14,0.39,82.99,0.0
2025-12-05T08:56:51,6.16,0.29,69.37,0.0
2025-12-05T08:56:53,5.96,0.29,23.36,0.0
2025-12-05T08:56:55,26.59,0.29,20.11,0.0
2025-12-05T08:56:57,31.18,0.29,10.09,0.0
2025-12-05T08:56:59,92.57,0.29,17.27,0.0
2025-12-05T08:57:02,96.48,0.29,12.6,0.0
2025-12-05T08:57:04,6.35,0.29,1.1,0.0
2025-12-05T08:57:06,7.62,0.29,5.0,0.0
2025-12-05T08:57:08,6.45,0.29,55.88,0.0
2025-12-05T08:57:11,6.74,0.2,14.75,0.0
2025-12-05T08:57:13,6.06,0.39,81.44,0.0
2025-12-05T08:57:15,5.77,0.1,37.7,0.0
2025-12-05T08:57:17,6.16,0.2,12.97,0.0
2025-12-05T08:57:19,6.84,0.29,7.7,0.0
2025-12-05T08:57:22,6.65,0.29,52.55,0.0
2025-12-05T08:57:24,5.87,0.29,78.31,0.0
2025-12-05T08:57:26,6.06,0.29,52.12,0.0
2025-12-05T08:57:28,5.77,0.29,44.76,0.0
2025-12-05T08:57:31,7.04,0.29,20.32,0.0
2025-12-05T08:57:33,6.84,0.29,41.2,0.0
2025-12-05T08:57:35,7.04,0.29,15.91,0.0
2025-12-05T08:57:37,6.65,0.29,58.67,0.0
2025-12-05T08:57:39,5.47,0.29,75.08,0.0
2025-12-05T08:57:42,7.53,0.29,37.6,0.0
2025-12-05T08:57:44,7.23,0.29,40.61,0.0
