timestamp,ambient_percent,uv_percent,temp_c,flow_l_min
2025-12-25T13:48:52,3.32,0.29,20.43,0.0
2025-12-25T13:48:52,3.52,0.29,20.54,0.0
2025-12-25T13:48:52,3.42,0.2,20.32,0.0
2025-12-25T13:48:53,4.11,0.29,20.43,0.0
2025-12-25T13:48:53,3.62,0.29,20.54,0.0
2025-12-25T13:48:53,3.71,0.59,20.43,0.0
2025-12-25T13:48:56,3.91,0.1,20.54,0.0
2025-12-25T13:48:58,3.91,0.39,20.32,0.0
2025-12-25T13:49:00,4.01,0.29,20.64,0.0
2025-12-25T13:49:02,4.2,0.29,20.54,0.0
2025-12-25T13:49:04,4.4,0.39,20.43,0.0
2025-12-25T13:49:07,4.3,0.29,20.54,0.0
2025-12-25T13:49:09,4.01,0.2,20.64,0.0
2025-12-25T13:49:11,4.59,0.39,20.22,0.0
2025-12-25T13:49:13,4.4,0.39,20.11,0.0
2025-12-25T13:49:16,4.5,0.29,20.32,0.0
2025-12-25T13:49:18,4.59,0.29,20.43,0.0
2025-12-25T13:49:20,4.89,0.1,20.64,0.0
2025-12-25T13:49:22,5.28,0.29,21.38,0.0
2025-12-25T13:49:25,5.08,0.29,21.49,0.0
2025-12-25T13:49:27,5.38,0.29,25.6,0.0
2025-12-25T13:49:29,6.35,0.29,27.1,0.0
2025-12-25T13:49:31,5.47,0.2,27.3,0.0
2025-12-25T13:49:33,5.47,0.29,27.69,0.0
2025-12-25T13:49:36,5.28,0.29,27.89,0.0
2025-12-25T13:49:38,5.67,0.39,28.19,0.0
2025-12-25T13:49:40,4.89,0.39,26.4,0.0
2025-12-25T13:49:42,5.08,0.29,24.79,0.0
2025-12-25T13:49:44,4.79,0.29,23.87,0.0
2025-12-25T13:49:47,4.99,0.29,22.74,0.0
2025-12-25T13:49:49,4.99,0.29,22.43,0.0
2025-12-25T13:49:51,4.59,0.39,22.01,0.0
2025-12-25T13:49:53,4.99,0.29,21.7,0.0
2025-12-25T13:49:56,4.59,0.29,21.49,0.0
2025-12-25T13:49:58,4.69,0.2,21.38,0.0
2025-12-25T13:50:00,2.74,0.29,21.17,0.0
2025-12-25T13:50:02,5.38,0.29,21.17,0.0
2025-12-25T13:50:04,5.28,0.29,21.07,0.0
2025-12-25T13:50:07,5.47,0.39,21.07,0.0
2025-12-25T13:50:09,4.89,0.29,20.96,0.0
2025-12-25T13:50:11,4.89,0.2,20.86,0.0
2025-12-25T13:50:13,4.3,0.29,20.75,0.0
2025-12-25T13:50:16,4.79,0.29,20.75,0.0
2025-12-25T13:50:18,5.47,0.59,20.75,0.0
2025-12-25T13:50:20,4.99,0.29,20.75,0.0
2025-12-25T13:50:22,5.08,0.2,20.32,0.0
2025-12-25T13:50:24,5.18,0.39,20.96,0.0
2025-12-25T13:50:27,4.69,0.29,20.64,0.0
2025-12-25T13:50:29,5.08,0.78,20.54,0.0
2025-12-25T13:50:31,4.69,0.1,20.64,0.0
2025-12-25T13:50:33,4.99,0.39,20.75,0.0
2025-12-25T13:50:36,4.59,0.29,20.64,0.0
2025-12-25T13:50:38,4.79,0.2,20.64,0.0
2025-12-25T13:50:40,4.89,0.29,20.96,0.0
2025-12-25T13:50:42,4.59,0.2,20.86,0.0
2025-12-25T13:50:44,4.99,0.29,20.64,0.0
2025-12-25T13:50:47,4.59,0.39,20.75,0.0
2025-12-25T13:50:49,4.79,0.68,20.64,0.0
2025-12-25T13:50:51,4.59,0.39,20.64,0.0
2025-12-25T13:50:53,4.79,0.29,20.75,0.0
2025-12-25T13:50:56,4.69,0.29,20.54,0.0
2025-12-25T13:50:58,5.08,0.29,20.43,0.0
2025-12-25T13:51:00,4.69,0.29,20.64,0.0
2025-12-25T13:51:02,5.08,0.39,20.54,0.0
2025-12-25T13:51:04,4.69,0.39,20.54,0.0
2025-12-25T13:51:07,5.08,0.29,20.64,0.0
