timestamp,ambient_percent,uv_percent,temp_c,flow_l_min
2025-12-15T05:00:08,3.32,0.29,18.27,0.0
2025-12-15T05:00:08,3.03,0.29,18.27,0.0
2025-12-15T05:00:08,3.42,0.39,18.27,0.0
2025-12-15T05:00:08,3.32,0.29,17.94,0.0
2025-12-15T05:00:10,3.13,0.39,18.27,0.0
2025-12-15T05:00:12,3.42,0.29,17.94,0.0
2025-12-15T05:00:14,3.13,0.49,18.27,0.0
2025-12-15T05:00:17,3.23,0.29,18.16,0.0
2025-12-15T05:00:19,3.32,0.29,18.27,0.0
2025-12-15T05:00:21,3.23,0.39,18.16,0.0
2025-12-15T05:00:23,3.13,0.49,18.49,0.0
2025-12-15T05:00:25,3.32,0.29,18.38,0.0
2025-12-15T05:00:28,3.32,0.39,17.82,0.0
2025-12-15T05:00:30,3.03,0.29,17.49,0.0
2025-12-15T05:00:32,3.42,0.39,18.81,0.0
2025-12-15T05:00:34,3.23,0.29,18.27,0.0
2025-12-15T05:00:37,3.23,0.39,18.16,0.0
2025-12-15T05:00:39,3.42,0.39,18.49,0.0
2025-12-15T05:00:41,3.13,0.29,17.94,0.0
2025-12-15T05:00:43,3.23,0.49,18.16,0.0
2025-12-15T05:00:45,3.32,0.39,18.38,0.0
2025-12-15T05:00:48,3.23,0.29,18.27,0.0
2025-12-15T05:00:50,3.13,0.29,18.27,0.0
2025-12-15T05:00:52,3.32,0.49,18.16,0.0
2025-12-15T05:00:54,3.23,0.29,18.16,0.0
2025-12-15T05:00:57,3.23,0.29,18.16,0.0
2025-12-15T05:00:59,3.32,0.29,18.27,0.0
2025-12-15T05:01:01,3.03,0.2,18.16,0.0
2025-12-15T05:01:03,3.32,0.29,18.16,0.0
2025-12-15T05:01:05,3.23,0.29,18.16,0.0
2025-12-15T05:01:08,2.93,0.29,18.16,0.0
2025-12-15T05:01:10,3.42,0.29,18.05,0.0
2025-12-15T05:01:12,3.23,0.29,18.27,0.0
2025-12-15T05:01:14,3.13,0.29,18.05,0.0
2025-12-15T05:01:16,3.32,0.29,18.16,0.0
2025-12-15T05:01:19,2.83,0.29,18.16,0.0
