timestamp,ambient_percent,uv_percent,temp_c,flow_l_min
2025-12-03T23:33:43,19.45,0.49,21.7,0.0
2025-12-03T23:33:43,10.85,0.2,21.59,0.0
2025-12-03T23:33:44,8.8,0.29,21.59,1.85
2025-12-03T23:33:44,18.38,0.39,21.49,2.16
2025-12-03T23:33:44,8.7,0.39,21.49,2.13
2025-12-03T23:33:44,15.54,0.29,21.49,2.15
2025-12-03T23:33:44,21.02,0.39,21.49,2.18
2025-12-03T23:33:44,12.9,0.29,21.49,2.27
2025-12-03T23:33:44,8.11,0.29,21.49,2.19
2025-12-03T23:33:44,20.63,0.88,21.59,2.16
2025-12-03T23:33:44,7.72,0.39,21.59,2.11
2025-12-03T23:33:45,20.82,0.39,21.7,2.21
2025-12-03T23:33:45,18.48,0.29,21.59,2.19
2025-12-03T23:33:45,19.84,0.29,21.59,2.14
2025-12-03T23:33:45,17.4,0.29,21.38,2.11
2025-12-03T23:33:45,20.43,0.29,21.59,2.22
2025-12-03T23:33:45,20.82,0.29,21.38,2.26
2025-12-03T23:33:45,20.14,0.29,21.59,2.14
2025-12-03T23:33:45,13.0,0.29,21.49,2.21
2025-12-03T23:33:45,8.6,0.29,21.49,2.25
2025-12-03T23:33:46,20.33,0.29,21.49,2.24
2025-12-03T23:33:46,9.87,0.39,21.59,2.12
2025-12-03T23:33:46,15.25,0.29,21.49,2.23
2025-12-03T23:33:46,20.92,0.2,21.49,2.21
2025-12-03T23:33:46,9.97,0.49,21.49,2.19
2025-12-03T23:33:46,18.57,0.29,21.49,2.26
2025-12-03T23:33:46,18.38,0.39,21.38,2.17
2025-12-03T23:33:46,19.35,0.39,21.59,2.16
2025-12-03T23:33:46,12.81,0.29,21.7,2.18
2025-12-03T23:33:47,20.53,0.0,21.59,2.28
2025-12-03T23:33:47,16.91,0.39,21.49,2.23
2025-12-03T23:33:47,8.21,0.39,21.91,2.16
2025-12-03T23:33:47,20.82,0.2,21.59,2.23
2025-12-03T23:33:47,9.48,0.29,21.8,2.15
2025-12-03T23:33:47,11.83,0.29,21.59,2.23
2025-12-03T23:33:47,19.45,0.29,21.49,2.18
2025-12-03T23:33:47,13.39,0.39,21.49,2.17
2025-12-03T23:33:47,13.59,0.39,21.49,2.15
2025-12-03T23:33:48,15.05,0.1,21.38,2.12
2025-12-03T23:33:48,20.63,0.29,21.7,2.17
2025-12-03T23:33:48,12.81,0.29,21.7,2.19
2025-12-03T23:33:48,8.41,0.29,21.7,2.21
2025-12-03T23:33:48,14.66,0.29,21.49,2.19
2025-12-03T23:33:48,14.17,0.39,21.59,2.18
2025-12-03T23:33:48,14.47,0.2,21.59,2.17
2025-12-03T23:33:48,8.21,0.29,21.59,2.15
2025-12-03T23:33:48,19.35,0.29,21.49,2.19
2025-12-03T23:33:49,13.78,0.2,21.59,2.16
2025-12-03T23:33:49,13.49,0.39,21.59,2.23
2025-12-03T23:33:49,16.42,0.29,21.49,2.17
2025-12-03T23:33:49,12.02,0.29,21.59,2.15
2025-12-03T23:33:49,17.69,0.29,21.7,2.19
2025-12-03T23:33:49,9.09,0.39,21.49,2.23
2025-12-03T23:33:49,19.84,0.29,21.17,2.24
2025-12-03T23:33:49,8.11,0.29,21.59,2.23
2025-12-03T23:33:49,20.23,0.29,21.49,2.25
2025-12-03T23:33:50,19.55,0.29,21.8,2.21
2025-12-03T23:33:50,10.17,0.29,21.59,2.17
2025-12-03T23:33:50,18.77,0.29,21.59,2.2
2025-12-03T23:33:50,20.82,0.29,21.59,2.16
2025-12-03T23:33:50,9.29,0.39,21.59,2.16
2025-12-03T23:33:50,7.92,0.39,21.49,2.22
2025-12-03T23:33:50,20.14,0.29,21.38,2.09
2025-12-03T23:33:50,15.64,0.29,21.38,0.0
2025-12-03T23:33:50,20.92,0.29,21.59,0.0
2025-12-03T23:33:51,16.72,0.29,21.49,0.0
2025-12-03T23:33:51,7.82,0.29,21.38,2.38
2025-12-03T23:33:51,20.72,0.2,21.59,2.32
2025-12-03T23:33:51,10.46,0.2,21.49,2.3
2025-12-03T23:33:51,17.11,0.29,21.59,2.34
2025-12-03T23:33:51,19.26,0.29,21.59,2.15
2025-12-03T23:33:51,12.51,0.29,21.49,2.23
2025-12-03T23:33:51,20.53,0.29,21.49,2.26
2025-12-03T23:33:51,12.51,0.29,21.59,2.22
2025-12-03T23:33:52,9.38,0.39,21.59,2.29
2025-12-03T23:33:52,18.18,0.29,21.59,2.36
2025-12-03T23:33:52,7.92,0.29,21.7,2.36
2025-12-03T23:33:52,20.82,0.39,21.59,2.27
2025-12-03T23:33:52,18.87,0.39,21.7,2.25
2025-12-03T23:33:52,14.76,0.29,21.49,2.32
2025-12-03T23:33:52,9.58,0.2,21.8,2.25
2025-12-03T23:33:52,19.26,0.29,21.59,2.3
2025-12-03T23:33:52,8.02,0.29,21.49,2.26
2025-12-03T23:33:53,11.73,0.39,21.49,2.29
