timestamp,ambient_percent,uv_percent,temp_c,flow_l_min
2025-12-04T00:00:01,9.48,0.29,21.8,0.0
2025-12-04T00:00:03,9.48,0.39,21.7,0.0
2025-12-04T00:00:05,15.64,0.39,21.49,0.0
2025-12-04T00:00:08,18.77,0.39,21.59,0.0
2025-12-04T00:00:10,19.16,0.29,21.38,0.0
2025-12-04T00:00:12,15.25,0.39,21.59,0.0
2025-12-04T00:00:14,9.29,0.29,21.49,0.0
2025-12-04T00:00:16,7.43,0.39,21.49,0.0
2025-12-04T00:00:19,13.88,0.39,21.59,0.0
2025-12-04T00:00:21,19.35,0.39,21.49,0.0
2025-12-04T00:00:23,20.92,0.39,21.59,0.0
2025-12-04T00:00:25,13.98,0.39,21.7,0.0
2025-12-04T00:00:27,8.41,0.29,21.7,0.0
2025-12-04T00:00:30,10.07,0.0,21.91,0.0
2025-12-04T00:00:32,17.3,0.39,21.8,0.0
2025-12-04T00:00:34,20.82,0.39,21.8,0.0
2025-12-04T00:00:36,18.77,0.39,21.7,0.0
2025-12-04T00:00:39,13.1,0.39,21.7,0.0
2025-12-04T00:00:41,8.41,0.39,21.8,0.0
2025-12-04T00:00:43,9.87,0.29,21.8,0.0
2025-12-04T00:00:45,15.84,0.49,21.7,0.0
2025-12-04T00:00:47,21.41,0.39,21.7,0.0
2025-12-04T00:00:50,19.06,0.39,21.8,0.0
2025-12-04T00:00:52,9.87,0.39,21.59,0.0
2025-12-04T00:00:54,9.58,0.39,21.8,0.0
2025-12-04T00:00:56,17.79,0.39,21.8,0.0
2025-12-04T00:00:59,21.41,0.29,21.91,0.0
2025-12-04T00:01:01,16.13,0.39,21.8,0.0
2025-12-04T00:01:03,8.99,0.29,21.8,0.0
2025-12-04T00:01:05,9.29,0.39,21.7,0.0
2025-12-04T00:01:07,15.74,0.39,21.7,0.0
2025-12-04T00:01:10,20.63,0.68,21.8,0.0
2025-12-04T00:01:12,20.04,0.29,21.8,0.0
2025-12-04T00:01:14,10.95,0.49,21.7,0.0
2025-12-04T00:01:16,8.5,0.39,21.7,0.0
2025-12-04T00:01:19,15.44,0.39,21.91,0.0
2025-12-04T00:01:21,20.53,0.39,21.7,0.0
2025-12-04T00:01:23,19.65,0.39,21.91,0.0
2025-12-04T00:01:25,10.85,0.49,21.91,0.0
2025-12-04T00:01:27,9.19,0.29,21.8,0.0
2025-12-04T00:01:30,17.99,0.39,21.8,0.0
2025-12-04T00:01:32,21.9,0.39,21.8,0.0
2025-12-04T00:01:34,16.62,0.29,21.8,0.0
2025-12-04T00:01:36,8.7,0.29,21.8,0.0
2025-12-04T00:01:38,12.61,0.39,21.8,0.0
2025-12-04T00:01:41,21.51,0.39,21.8,0.0
2025-12-04T00:01:43,16.81,0.2,21.8,0.0
2025-12-04T00:01:45,7.72,0.39,21.38,0.0
2025-12-04T00:01:47,12.61,0.29,21.8,0.0
2025-12-04T00:01:50,21.21,0.39,21.91,0.0
2025-12-04T00:01:52,16.03,0.29,21.8,0.0
2025-12-04T00:01:54,8.6,0.29,21.7,0.0
2025-12-04T00:01:56,16.62,0.29,21.7,0.0
2025-12-04T00:01:58,21.7,0.39,21.7,0.0
2025-12-04T00:02:01,15.35,0.49,21.8,0.0
2025-12-04T00:02:03,8.02,0.29,21.8,0.0
2025-12-04T09:35:40,12.51,0.39,19.57,0.0
2025-12-04T09:35:40,12.9,0.39,19.79,0.0
2025-12-04T09:35:40,12.81,0.49,19.68,0.0
2025-12-04T09:35:40,11.14,0.49,19.57,0.0
2025-12-04T09:35:40,11.14,0.49,19.79,0.0
2025-12-04T09:35:40,12.51,0.39,19.68,0.0
2025-12-04T09:35:40,12.81,0.39,19.68,0.0
2025-12-04T09:35:40,13.0,0.49,19.79,0.0
2025-12-04T09:35:42,13.0,0.39,19.68,0.0
2025-12-04T09:35:44,13.0,0.49,19.79,0.0
2025-12-04T09:35:46,11.73,0.49,19.68,0.0
2025-12-04T09:35:48,11.73,0.39,19.68,0.0
2025-12-04T09:35:51,12.81,0.49,19.79,0.0
2025-12-04T09:35:53,12.02,0.49,19.79,0.0
2025-12-04T09:35:55,12.61,0.39,19.68,0.0
2025-12-04T09:35:57,12.41,0.39,19.68,0.0
2025-12-04T09:36:00,12.41,0.49,19.68,0.0
2025-12-04T09:36:02,11.53,0.49,19.68,0.0
2025-12-04T09:36:04,11.93,0.49,19.68,0.0
2025-12-04T09:36:06,12.02,0.39,19.68,0.0
2025-12-04T09:36:09,11.93,0.49,19.68,0.0
2025-12-04T09:36:11,12.22,0.39,19.68,0.0
2025-12-04T09:36:13,10.95,0.39,19.68,0.0
2025-12-04T09:36:15,12.51,0.59,19.68,0.0
2025-12-04T09:36:17,12.12,0.39,19.57,0.0
2025-12-04T09:36:20,11.83,0.49,19.68,0.0
2025-12-04T09:36:22,11.93,0.49,19.68,0.0
2025-12-04T09:36:24,11.73,0.49,19.68,0.0
2025-12-04T09:36:26,11.24,0.49,19.68,0.0
2025-12-04T09:36:28,10.95,0.39,19.68,0.0
2025-12-04T09:36:31,10.36,0.49,19.68,0.0
2025-12-04T09:36:33,10.95,0.49,19.57,0.0
2025-12-04T09:36:35,9.97,0.39,19.68,0.0
2025-12-04T09:36:37,10.75,0.39,19.68,0.0
2025-12-04T09:36:40,10.56,0.39,19.68,0.0
2025-12-04T09:36:42,10.75,0.39,19.68,0.0
2025-12-04T09:36:44,11.24,0.39,19.79,0.0
2025-12-04T09:36:46,10.65,0.39,19.68,0.0
2025-12-04T09:36:48,11.14,0.49,19.68,0.0
2025-12-04T09:36:51,10.17,0.39,19.68,0.0
2025-12-04T09:36:53,9.87,0.39,19.68,0.0
2025-12-04T09:36:55,11.14,0.39,19.57,0.0
2025-12-04T09:36:57,12.32,0.39,19.57,0.0
2025-12-04T09:37:00,12.32,0.29,19.68,0.0
2025-12-04T09:37:02,12.22,0.39,19.57,0.0
2025-12-04T09:37:04,11.83,0.49,19.57,0.0
2025-12-04T09:37:06,12.51,0.49,19.57,0.0
2025-12-04T09:37:08,12.81,0.49,19.57,0.0
2025-12-04T09:37:11,12.41,0.49,19.68,0.0
2025-12-04T09:37:13,10.95,0.39,19.57,0.0
2025-12-04T09:37:15,11.53,0.49,19.68,0.0
2025-12-04T09:37:17,11.05,0.49,19.57,0.0
2025-12-04T09:37:20,10.85,0.39,19.57,0.0
2025-12-04T09:37:22,11.34,0.39,19.68,0.0
2025-12-04T09:37:24,11.05,0.49,19.68,0.0
